id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,COVID (add yes/ no)
4544,Ileach,http://www.ileach.co.uk/,missing,"Alexa, Jun, Organization, Archive, Internet, FEB, COLLECTED, Starting","Islay, Festival, vessel, Book, Lifeboat, July, Crinan, Reekie","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","In this week's issue: Port Ellen Sports Day, CalMac's ferry go round, Lifeboat launches, Further education classes at Argyll College, Gaelic walk in Bowmore, Sir Jamie McGrigor dies, Bookish bike ride, Peter's pork pie, Auld Reekie sails again, Jura races, Open letter to Transport Secretary, Islay Book Festival, A visit to Finlaggan, Islay Quilters at the Show, How Does Your Garden Grow: John Miller on Echium and peaches, Amy Clark-Want goes foraging, Kilmeny's Wednesday Afternoon Club, Playing percussion with Cantilena, Ingie Hill examines the fortunes of Leos, INHT awarded ecosystem grant.",14/02/1998,28/07/2025,no,News,CORONAVIRUS,no
2445,Kelso Races,https://www.kelso-races.co.uk/,109119,"Jun, Alexa, Dec, Nov, Feb, Organization, Archive, Internet","Kelso, Racecourse, racing, DAY, Borders, Border, RACES, Scottish","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","Charity Raceday & Evening 2025 Plan Your Visit Where to Stay Grade II Listed, luxury Georgian hotel set in glorious surroundings with views over the River Tweed.",07/12/2000,08/06/2025,no,Sports,CORONAVIRUS,no
4525,Scottish Chambers of Commerce,https://www.scottishchambers.org.uk/,missing,"Chambers, Scottish, Commerce, Scotland, local, Government, bodies, umbrella","Chambers, business, Commerce, Scottish, Chamber, Scotland, network, Dundee",Lex Gold Director The Scottish Chambers of Commerce Conference House 152 Morrison Street EDINBURGH EH3 8EBTel 0131 477 8025 Fax 0131 477 7002 e-mail: mail@scottishchambers.org.uk © 1998 1227 Website created by Local Internet Services Limited,"While legislative changes will take time, the i... energy 12-05-2025 ‘We have so much to offer’ How international relations can boost Scottish exports Scotland’s global trade performance is a vital engine of our economy, but there is even more we can do to attract inward investment and boost exports.",02/02/2001,28/05/2025,no,Business,Coronavirus,no
2452,Caithness Business Index,https://caithness-business.co.uk/,109277,"Jul, Alexa, Feb, Jan, Organization, Archive, Internet, COLLECTED","nuclear, Scotland, Majesty, King, Caithness, Authority, Party, NDA","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","Over 500,000 people have signed up as of 27 July 2025 in a matter of days.28/7/2025 The Postie May Not Come On Some Days - Royal Mail Delivery Changes in the UK - Amazon Still Delivers Starting Monday, July 28, 2025, Royal Mail is implementing major changes to its delivery schedule, particularly for second-class letters.",23/02/2001,30/07/2025,no,Business,Coronavirus,no
2425,Scottish Auto Cycle Union (SACU),https://www.sacu.co.uk/,109079,"Jul, Alexa, Apr, Mar, Organization, Archive, Internet, COLLECTED","Aug, Jul, Sep, Archive, Team, ROUNDS, data, RHYNIE","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",12/04/2001,26/07/2025,no,Sports,CORONAVIRUS,no
2681,Iomart Group : News,https://www.iomart.com/news/,110527,"ADSL, Internet, Archive, OnCue, Telecommunications, Alexa, data, iomart","Read, Cloud, sector, Protect, Featured, Article, Securing, public",It is expected that this customer base will migrate across to iomart's ADSL network within the next 10 working days.,Azure and AWS will become available from UK-based data centres in the next couple of years.,26/07/2001,15/11/2019,no,Business,CORONAVIRUS,no
2732,University of Glasgow : News,https://www.gla.ac.uk/news/,110756,"University, Glasgow, Alexa, Internet, crawl, Feb, Organization, Archive","BST, Jun, Wed, Mon, Thu, Jul, Fri, Partnership","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","Prof Emma Thomson to co-lead National Scottish Pandemic Sciences Partnership Mon, 21 Jul 2025 12:00:25 BST Vet Council appoints Christopher Loughrey and Lisa Boden as Vice-Chairs Wed, 16 Jul 2025 07:00:00 BST Black holes discovery to be revealed at gravitational waves conference in Glasgow Mon, 14 Jul 2025 00:02:00 BST Cosmic ceilidh dance set to celebrate historic science discovery Fri, 11 Jul 2025 00:01:29 BST ‘Right size, right place’ approach required for climate adaptation plans Fri, 27 Jun 2025 08:00:00 BST Launch of new Total-Body PET scanner extends UK’s world-class imaging platform to Scotland Tue, 24 Jun 2025 00:01:00 BST New research discovery could advance drug treatments for diabetes and obesity Wed, 18 Jun 2025 16:00:00 BST New Oral Health Research Hub launched Thu, 12 Jun 2025 11:36:00 BST New 'Screen Carbon Test' launches to help audiences and creators assess climate messaging in film and TV Thu, 12 Jun 2025 11:00:00 BST Professor Chapman accepts prestigious education role in Singapore Wed, 11 Jun 2025 10:21:00 BST UofG engineers lend support to new ESA-funded project Wed, 11 Jun 2025 08:30:00 BST Study reveals lasting mental health impacts of domestic violence Mon, 09 Jun 2025 18:00:00 BST UofG launches next-generation safety training to transform culture in UK screen industry Fri, 06 Jun 2025 05:55:00 BST The University of Glasgow hosts CARBON: Under Pressure, a collaborative exhibition with the Science Gallery Bengaluru Thu, 05 Jun 2025 13:00:00 BST Allowing black rhino to roam freely protects against the dangers of inbreeding Wed, 04 Jun 2025 09:00:00 BST Researchers review role of digital communications evidence in CCRC applications Tue, 03 Jun 2025 10:17:00 BST UofG shortlisted for prestigious Prix Galien award Mon, 02 Jun 2025 12:00:00 BST Professor Emma Thomson appointed Director of the CVR Mon, 02 Jun 2025 07:00:00 BST UofG forms Strategic Partnership with NHS Lanarkshire to improve health outcomes Thu, 29 May 2025 09:00:00 BST Career boost for international students in partnership with University of Birmingham Thu, 15 May 2025 05:55:00 BST Patchy geographical coverage of dog vaccinations is a key barrier for rabies elimination Wed, 14 May 2025 14:00:00 BST Older adults benefit from exercising with people in their local area Wed, 07 May 2025 19:00:00 BST",04/01/2002,21/07/2025,no,Education,CORONAVIRUS,no
2879,Aberlour : News,https://www.aberlour.org.uk/news/,111274,"Smith, Aberlour, Edward, Child, Care, Headlines, Trust, Boy’","March, Aberlour, Charity, Children, April, Debt, Public, Poverty","Assistant Director in Working with Young People, Graham McPhie outlines the impact that this will have on Scotland’s children.","New Report From Aberlour Children's Charity Warns That UK Disability Benefit Cuts Could Further Disadvantage Vulnerable Families 17 June 2025 Tayside Public Debt Project An Example for the Rest of Scotland to Follow 16 June 2025 Aberlour 150th Afternoon Tea Party 19 May 2025 Public bodies 'perpetuate harm' on families left in debts to abusive partners 15 May 2025 Charity urges Scots to consider fostering amid recruitment crisis 12 May 2025 International conference will help young Scots thrive 2 May 2025 Aberlour welcomes Cabinet Secretary Neil Gray MSP to Mother and Child Recovery House in Falkirk 23 April 2025 New Research Finds Over £200m a Year Taken from Poorest Families 9 April 2025 Aberlour and Scottish Refugee Council proud to continue partnership with Scottish Government to support vulnerable children 8 April 2025 Aberlour’s Board Cycle 150-Miles for Milestone Anniversary 8 April 2025 Aberlour’s response to the Child Poverty Statistics 2023/2024 27 March 2025 Aberlour's response to UK Government's proposed disability and sickness benefits changes 19 March 2025 Public debt and child poverty crisis addressed at national conference 18 March 2025 Blog: Council tax collectors helping trap children in poverty 16 March 2025 Professor: Council debt collectors can help trap families in poverty 11 March 2025 Blog: How debt being pursued in our name is trapping children in poverty 11 March 2025 Barratt Homes raises over £150,000 at annual charity dinner to help disadvantaged children in Scotland 3 March 2025 Mum on charity’s lifeline support for son: ‘It feels like a miracle’ 23 February 2025 Aberlour intensifies campaign to tackle public debt crisis to reduce child poverty 22 February 2025 Charity urges debt relief for domestic abuse survivors 9 February 2025 Children's charity urges MPs to combat public debt across the UK 12 January 2025 We are family: Children's charity leader on the changing face of care 12 January 2025 Young designers deliver Aberlour's 150th anniversary logo 12 January 2025 Blog: Why punish domestic violence survivors with abusers’ debt?",24/03/2003,01/07/2025,no,Health,CORONAVIRUS,no
3722,"Richmond Fellowship Scotland, The : News",https://www.trfs.org.uk/news/,112318,"Internet, Alexa, Archive, Monday, September, Report, Starting, data","Team, Archive, history, data, projects, digital, saving, websites","Flowing in every day, these data are added to the Wayback Machine after an embargo period.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",05/10/2003,08/07/2025,no,Charity,CORONAVIRUS,no
2686,Macphie of Glenbervie : News,http://www.macphie.com/news/,110535,"Internet, Alexa, Archive, Macphie, Food, data, Starting, Bako","Team, Archive, history, data, projects, digital, saving, websites","Macphie has once again received industry recognition for its Cappuccino Sauce, winning the Foodservice Dessert category at this year�s Scottish Food and Drink Excellence Awards.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",08/10/2003,01/07/2025,no,Business,CORONAVIRUS,no
