id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,COVID (add yes/ no),group
2613,Alexander Dennis Limited : News,https://www.alexander-dennis.com/media/news/,110224,"Wayback, Machine, Archive, web, WARC, ARC, Internet, Proxy","Archive, Team, data, destroyed, projects, group, resolved, Wayback",Liveweb proxy is a component of Internet Archive’s wayback machine project.,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",05/02/2019,04/07/2023,no,Transport,CORONAVIRUS,no,Government
3900,St. David's RC Primary School : COVID-19 Learning from Home,http://stdavidsps.mgfl.net/home/severe-weather/,115444,"severe, weather, pupils, click, activities, learning, prevent, school","child, learning, Seesaw, closures, continue, moved, school, support",Don’t forget to share your learning by tweeting us @stdavidsprimary !,A daily check in and learning grid will be posted by your child’s teacher.,17/02/2019,21/10/2021,no,"School, Primary",CORONAVIRUS,no,Education
2487,Edinburgh Live : News & Sport,https://www.edinburghlive.co.uk/news/,109371,"Edinburgh, Travel, Traffic, Crime, Lothian, City, people, Scotland","Edinburgh, Bookmark, Lothian, City, West, Council, East, Midlothian","Based in the city centre, some rooms at Premier Inn Princes Street boast a picturesque view of Edinburgh Castle Edinburgh Airport Thousands stranded after Edinburgh serving airline Wow Air folds - here's what to do if you're affected All flights were cancelled this morning as the Icelandic airline announced it was ceasing operation immediately Traffic and Travel A720 Edinburgh Bypass lane blocked following four-vehicle crash It is understood there has been a fuel spill from one of the vehicles involved Crime Crime West Lothian trio charged in £12 million VAT fraud and money laundering investigation They were arrested as part of an ongoing joint investigation by HMRC and Police Scotland Crime Warning over bogus window cleaner breaking into homes in Edinburgh - including Gorgie and the Gyle ""He is carrying a crowbar, knocking on doors and asking if you require a window cleaner"" Crime 'No one wants' ashes of World's End murderer Angus Sinclair The notorious killer was cremated in a secret ceremony on Wednesday Facebook Trio, including an ex-partner, convicted of murder following death of Edinburgh man A sister, a friend and her younger brother are facing life in prison after being convicted of murdering her former boyfriend Musselburgh Girl, 12, charged after being found with knife at East Lothian school Police were called to Pinkie St Peter's Primary in Musselburgh Politics Politics BBC Scotland's Debate Night show needs Edinburgh audience members The Question Time-style show needs people to grill politicians Crime New 'landmark' domestic abuse law will be introduced in Scotland next week The legislation will criminalise psychological abuse and takes into account the impact domestic abuse can have on children.","Love Your Garden viewers were left in tears as foster parents Rob and Margaret Isdale broke down in tears after seeing the transformation the hit ITV show had given their garden Strictly's Anton Du Beke shares 'cruel' reason wife 'struggled' to become mum Strictly Come Dancing Anton Du Beke has spoken about his wife Hannah's 'cruel' endometriosis diagnosis, and how it made him feel 'inadequate' as he watched her suffer while they tried to conceive",30/03/2019,27/07/2025,no,News,CORONAVIRUS,no,Media
2899,"East Lothian Council : Emergencies, safety and crime",https://www.eastlothian.gov.uk/info/210574/emergencies_safety_and_crime/,111353,"Emergency, Apr, Community, Emergencies, services, safety, Social, crime","April, Friday, Monday, Weather, area, offices, closed, East","You are here: Home Emergencies, safety and crime Emergencies, safety and crime Emergency contact details Emergency planning Emergency response plans Antisocial behaviour Report domestic abuse Arrange a home safety visit Information Emergency Social Work Service Fire safety Hate crime Support for victims and witnesses Resolution service Hazardous chemicals Counter-terrorism strategy (CONTEST) 2018 Community Safer East Lothian Dangerous and nuisance dogs Community risk register Community wardens Criminal justice social work Severe weather School closures Winter road maintenance Seasonal waste updates Flooding Get ready for winter services Road gullies and spillages Damage to homes East Lothian Weather",Focus using keys A-Z on your keyboard East Lothian Weather,01/04/2019,21/04/2025,no,Local Authority,CORONAVIRUS,no,Government
3752,High School of Dundee : News,https://www.highschoolofdundee.org.uk/news-and-events/news/,112875,"School, High, Dundee, April, March, Pupils, February, multi","HSD, pupils, School, Dundee, March, February, High, Skills","- Alumni Gather Together In Edinburgh 14th March 2019Last Friday evening, former pupils of the School took a trip down memory lane and gathered together at Bar Tonic in Edinburgh, where they were treated to some specially crafted House-themed cocktails... - Musicians deliver prize-winning performances 13th March 2019Some High School of Dundee pupils are celebrating after delivering prize-winning performances at a local music competition.",- Far From Rome: Ancient Soldier Visits HSD Pupils 18th January 2024L4 pupils at the High School of Dundee were treated to a very unique lesson this week after a strange visitor was seen ‘Roman’ the halls of our Margaret Harris building.,13/05/2019,28/03/2024,no,"School, Independent",CORONAVIRUS,no,Education
3740,"Edinburgh Academy, The : Life @ EA",https://www.edinburghacademy.org.uk/414/life-ea/,112675,"edinburghacad, Sun, Geits, jasschools, Life, time, fun, friendship","School, Life, Day, Form, Nursery, Support, Parent, Senior",I witnessed 1) blindfold rubicks solve 2) hoop act 3) gymnastic dance routine 4) Matilda cover 5) two sound of music covers 6) self working card trick and more.,"Sustainable Venues, Holiday Camps & Sports Facilities Meet the AccessEA Team Facebook Instagram Firefly iSams Parent Portal SOCS Sport AccessEA Academical LinkedIn The Edinburgh Academy Bicentennial The EA Archives New Staff Search Home News & Calendar News Share This Page facebook Share this page on Facebook twitter Tweet this page Email this page Life @ EA 336 News Articles found - Showing 1&9 Previous 1 2 3 4 .. Next Filter by All News Facebook Instagram 0 9 Posted - 23rd April We hope everyone had a lovely Easter break 🐣🌷 As we return to school this week we are delighted to welcome back all our pupils, teachers and staff ✨ #WelcomeBack #EasterBreak #NewTerm #Spring #BackToSchool 0 20 Posted - 17th April 🎥 Behind the scenes at our Bicentennial Concert A huge thank you once again to everyone who made our EA Bicentennial Concert at Usher Hall such a memorable evening 🎶 We are excited to share a special follow-up v... 0 26 Posted - 16th April Highlights from this year’s Yards Race – great energy and fantastic effort all round!",26/05/2019,23/04/2025,no,"School, Independent",CORONAVIRUS,no,Education
4474,Young Scot : Get informed,https://young.scot/get-informed/,missing,"Informed, East, Featured, Filters, Ayrshire, Identity, Health, Wellbeing","information, Gaming, risks, young, Melanotan, Support, Safe, Climate",Featured Health and Wellbeing Get Informed 14 Reasons Why Summer is the Best Season Ever Featured Lifestyle Get Informed What NOT to Say to a Woman in STEM Featured Learn and Grow Get Informed What Happens When My Voice Starts Breaking?,"Discover our reliable, unbiased information on a variety of topics that has been created with young people from across Scotland, and fact-checked by us.",01/07/2019,27/06/2025,no,Media,CORONAVIRUS,no,Media
3736,Fettes College : News and Events,https://www.fettes.com/news-events/,112670,"Form, Monkton, Combe, School, term, June, Prep, Fettes","Team, Archive, history, data, projects, digital, saving, websites","As part of their post GCSE programme the Fifth Form participated in a Model United Nations Conference, which was organised and ran by sixteen Lower Sixth pupils.","The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",06/07/2019,02/07/2025,no,"School, Independent",CORONAVIRUS,no,Education
2462,Isle of Lismore : COVID-19 RESPONSE UPDATES,https://isleoflismore.com/stories-people,109344,"Saint, Glen, Loch, Linnhe, Great, Lismore, Moluag, Ben","Gaelic, Lismore, island, Great, Mòr, Garden, Glen, Lios","But we’ve also got an Iron Age Broch, Castle Coeffin (a ruined Norse stronghold) – ruined castles enough, in fact, to satisfy all your romantic fantasies!","Today, as well as this rich heritage, it is prized for its beauty, tranquillity, and fertility with much to offer visitors whether on a day trip or for longer.",17/08/2019,14/04/2025,no,News,CORONAVIRUS,no,Media
2780,BMA Scotland : Blog,https://bmascotland.home.blog/,111011,"PWA, Portugal, Portuguese, Web, Arquivo.pt, web-archive, national, archive","Team, Archive, history, data, projects, digital, saving, websites",It is a service of the Foundation for Science and Technology (FCT).,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",07/10/2019,15/07/2025,no,Blog,CORONAVIRUS,no,Media
3897,St. David's RC Primary School : Cost of the School Day,http://stdavidsps.mgfl.net/cost-of-the-school-day/,115441,"SCHOOL, COST, DAY, Funding, Council, reduce, Parent, ensure","school, cost, day, Funding, Council, reduce, Parent, ensure",Many of these interventions are continuing to be implemented into 2019/2020 using PEF (Pupil Equity Funding).,Many of these interventions are continuing to be implemented into 2019/2020 using PEF (Pupil Equity Funding).,25/10/2019,14/02/2025,no,"School, Primary",CORONAVIRUS,no,Education
2562,Glasgow City Health & Social Care Partnership : News and Events,https://glasgowcity.hscp.scot/news-and-events/,109742,"Partnership, Glasgow, City, Social, Health, Care, Events, Communications","Team, Archive, history, data, projects, digital, saving, websites",The Partnership also regularly publishes its own Health and Social Care Integration Newsletter.,"The Archive Team Panic Downloads are full pulldowns of currently extant websites, meant to serve as emergency backups for needed sites that are in danger of closing, or which will be missed dearly if suddenly lost due to hard drive crashes or server failures.",22/12/2019,05/07/2025,no,Health,CORONAVIRUS,no,Education
2855,Ian Smart : 2020,http://ianssmart.blogspot.com/2020/,111227,"Referendum, government, Scotland, Holyrood, Act, SNP, power, Parliament","Scottish, scheme, Government, institutional, failure, Scotland, Freeman, time",They could pass legislation to have a vote anyway but it would just be struck down in the Supreme Court.,That she made a public statement on the subject and then forgot to do anything else about it?,19/01/2020,20/12/2023,no,Blog,CORONAVIRUS,no,Media
2876,Institute of Alcohol Studies : News 2020,http://www.ias.org.uk/News/2020.aspx,111268,"Internet, Alexa, Archive, Wayback, Machine, data, Starting, donating","Alcohol, February, Issue, November, September, March, October, July","Flowing in every day, these data are added to the Wayback Machine after an embargo period.",It’s rarely been so affordable to have a pint of beer in the pub Things can only get better?,21/01/2020,26/11/2020,no,Health,CORONAVIRUS,no,Education
