id,title,url,web_archive_id,first_keywords_auto,last_keywords_auto,first_summary_auto,last_summary_auto,first_date_parsed,last_date_parsed,alive,type1,type2,keywords_processed,group
1487,Inverclyde Council : Covid-19 (Coronavirus),https://www.inverclyde.gov.uk/tourism-and-visitor-attractions/coronavirus,107393,"Inverclyde, Primary, service, support, services, Centre, March, Council","Inverclyde, service, support, Primary, services, Council, Coronavirus, March","While this affects official games carried out by clubs, individuals who arrange their own football or other sports activity can still book pitches through Inverclyde Leisure.","While this affects official games carried out by clubs, individuals who arrange their own football or other sports activity can still book pitches through Inverclyde Leisure.",2020-03-29,2020-03-31,no,Local Authority,CORONAVIRUS,"inverclyde,primary,service,support,services,centre,march,council",Government
1488,Renfrewshire Council : Staff advice on Coronavirus,http://www.renfrewshire.gov.uk/coronavirus-staff,107395,"advice, Coronavirus, council, home, Government, Renfrewshire, Staff, services","protect, workplace, test, coronavirus, House, Renfrewshire, Guidance, working",Shielding Those considered most vulnerable to Coronavirus are advised that they must be shielded for the next 12 weeks at least.,"Information for staff about coronavirus (COVID-19) Guidance on working at Renfrewshire House, working safely during coronavirus, if you or a close contact develops symptoms of COVID-19, manager's guide for when a team member or member of the public tests positive, test and protect in the workplace.",2020-04-09,2022-05-18,no,Local Authority,CORONAVIRUS,"advice,coronavirus,council,home,government,renfrewshire,staff,services",Government
1489,Renfrewshire Council : Public advice on Coronavirus,http://www.renfrewshire.gov.uk/coronavirus,107396,"Coronavirus, information, Latest, businesses, outbreak, residents, visitors, guidance","coronavirus, Information, health, guidelines, Scotland, advice, government, Aware","We're working to support residents, businesses, visitors and our staff during the Coronavirus (COVID-19) outbreak.","There are things you can do to stay well and protect others, like: - staying at home if you have symptoms - wearing a face covering - washing your hands regularly - meeting in well-ventilated spaces - supporting Distance Aware, for anyone who prefers others to take extra care around them.",2020-03-30,2023-12-07,no,Local Authority,CORONAVIRUS,"coronavirus,information,latest,businesses,outbreak,residents,visitors,guidance",Government
1491,East Dunbartonshire Council : Being prepared for coronavirus (COVID-19),https://www.eastdunbarton.gov.uk/news/being-prepared-coronavirus-covid-19,107399,"NHS, Council, coronavirus, information, East, Dunbartonshire, advice, Leader","NHS, Council, coronavirus, information, East, Dunbartonshire, advice, Leader",Anyone who does not have symptoms but is looking for general information can call a free dedicated helpline on 0800 028 2816.,Anyone who does not have symptoms but is looking for general information can call a free dedicated helpline on 0800 028 2816.,2020-08-05,2020-11-30,no,Local Authority,CORONAVIRUS,"nhs,council,coronavirus,information,east,dunbartonshire,advice,leader",Government
1492,Glasgow City Council : Coronavirus (COVID-19) advice and information,https://www.glasgow.gov.uk/coronavirus,107400,"government, NHS, service, Health, advice, Glasgow, Scottish, Care","home, Glasgow, Government, Scottish, stay, list, Centres, Support","We are working hard to put plans in place manage the situation as it develops, following official advice and guidance.",Full details on Glasgow's Centres and helpline numbers are available at www.glasgow.gov.uk/article/26644/Glasgows-Covid-19-Mass-Vaccination-Centres Issues related to coronavirus (COVID-19) affecting the delivery of council services will be posted here.,2020-03-19,2023-12-07,no,Local Authority,CORONAVIRUS,"government,nhs,service,health,advice,glasgow,scottish,care",Government
1496,West Lothian Council : Coronavirus (COVID-19) - Advice from NHS Inform,https://www.westlothian.gov.uk/coronavirus,107404,"Information, Coronavirus, Updates, Council, services, essential, care, pages","Coronavirus, Information, Updates, test, pages, displayed, self-isolate, positive","Essential services such as careline, social care, care at home, waste collections, social work, essential housing repairs and care for vulnerable people will be among the key services which are prioritised.To enable this, the council has suspended responses to enquiries or complaints about service provision and will instead be focusing efforts to prioritise our statutory and essential services The council will continue to focus on our statutory duties under the Civil Contingencies Act.",Latest update on COVID-19 self-isolation guidance (updated 13 December): Information for council staff,2020-04-06,2022-08-15,no,Local Authority,CORONAVIRUS,"information,coronavirus,updates,council,services,essential,care,pages",Government
1497,"City of Edinburgh Council, The : Coronavirus (COVID-19) in Scotland",https://www.edinburgh.gov.uk/coronavirus,107405,"Coronavirus, Council, Information, advice, Births, Transport, recycling, Emergency","Mar, Crawl, Common, Search, Coronavirus, Council, Collection, SEP","Information on Coronavirus - Emergency school closures - Delays to rubbish and recycling collections - Coronavirus - latest service updates - Births, marriages and deaths - urgent update - Coronavirus in Edinburgh - Council events, classes, libraries and venues - Waste and recycling service during coronavirus - Information and advice for Council tenants - Coronavirus - how you can help - Businesses and employers - Looking after mental health and wellbeing during the Coronavirus outbreak - Transport, parking and roads - Coronavirus advice - Council Tax, benefits and welfare - Coronavirus advice - An update on our homelessness services",Mar 25 2022 2023 2024 success fail About this capture,2020-03-24,2023-09-25,no,Local Authority,CORONAVIRUS,"coronavirus,council,information,advice,births,transport,recycling,emergency",Government
1498,Midlothian Council : Coronavirus,https://www.midlothian.gov.uk/info/360/community_safety_and_crime/622/coronavirus,107406,"health, NHS, House, March, council, Coronavirus, Scotland, Social","Coronavirus, section, Latest, updates, services, moved, page, wrong","Delay phase From Friday 13 March, people with coronavirus symptoms should stay at home for a period of seven days as per normal process.",Is there anything wrong with this page?,2020-03-18,2023-06-05,no,Local Authority,CORONAVIRUS,"health,nhs,house,march,council,coronavirus,scotland,social",Government
1501,Fife Council :  Coronavirus (Covid-19),https://www.fife.gov.uk/kb/docs/articles/health-and-social-care2/coronavirus-covid-19,107409,"Health, Fife, NHS, Scotland, Council, Protection, Social, Care","cookies, Media, provide, Google, Analytics, information, Social, experience",The Department of Health and Social Care will publish updated UK data on Coronavirus (Covid-19) every day at 2pm until further notice.,"These cookies will allow us the ability to list Fife Council tweets and Facebook posts, Google maps, audio clips & Videos on some of our pages.",2020-03-30,2023-03-28,no,Local Authority,CORONAVIRUS,"health,fife,nhs,scotland,council,protection,social,care",Government
1502,Dundee City Council : Coronavirus (COVID-19),https://www.dundeecity.gov.uk/coronavirus-covid-19,107410,"Scotland, Council, Local, City, Coronavirus, outbreak, content, including","Scotland, COVID, Coronavirus, content, virus, rules, restrictions, lifted",You have a vital role to play in helping us contain any outbreak by following the latest health and travel advice.,"Coronavirus (COVID-19) content All COVID rules and restrictions have been lifted in Scotland, but the virus has not gone away.",2020-04-09,2023-02-26,no,Local Authority,CORONAVIRUS,"scotland,council,local,city,coronavirus,outbreak,content,including",Government
1504,Aberdeenshire Council : Coronavirus,https://www.aberdeenshire.gov.uk/featured-items/coronavirus-covid-19/,107421,"Health, services, View, Council, open, Scotland, Coronavirus', Local","Health, services, View, Council, open, Scotland, Coronavirus', Local",Burial services The advance sale of lairs (where not associated with an interment) at Aberdeenshire cemeteries has been temporarily suspended.,Burial services The advance sale of lairs (where not associated with an interment) at Aberdeenshire cemeteries has been temporarily suspended.,2020-03-29,2020-03-29,no,Local Authority,CORONAVIRUS,"health,services,view,council,open,scotland,coronavirus',local",Government
