id,title,url,first_date_parsed,type1,type2,is_alive,summary,first_keywords_auto,full_text
36613,online magazine for global citizenship in schools,http://www.stridemagazine.org.uk/,04/03/2016,NGO,NGO,True,"EditorialIn December International Human Solidarity Day takes place with a focus on compassion and cooperation.
Solidarity is an awareness of shared interests that create a sense of unity and moves us to support and act collectively be it in our local communities or further afield.
In this issue we provide and reflect on ways to cultivate these feelings of compassion, solidarity and shared values.
Our new feature focusses on developing anti-racist practice, and we also hear from Jordan Daly, Co-Founder and Co-Director of Time for Inclusive Education, who highlights the importance of representation and creating inclusive school curriculums.
Our activities section showcases activities exploring human rights for all ages including an activity which enables young people to explore and identify their shared values.","ways, magazine, online, values, compassion, solidarity, young, schools, inclusive, citizenship, human, activities, unity, global, shared","Editorial

In December International Human Solidarity Day takes place with a focus on compassion and cooperation. Solidarity is an awareness of shared interests that create a sense of unity and moves us to support and act collectively be it in our local communities or further afield. In this issue we provide and reflect on ways to cultivate these feelings of compassion, solidarity and shared values. Our new feature focusses on developing anti-racist practice, and we also hear from Jordan Daly, Co-Founder and Co-Director of Time for Inclusive Education, who highlights the importance of representation and creating inclusive school curriculums.

Our activities section showcases activities exploring human rights for all ages including an activity which enables young people to explore and identify their shared values."
68591,"Rebuild of ""irreparable"" Glasgow School of Art estimated at over £100 million",https://www.dezeen.com/2018/06/18/glasgow-school-of-art-fire-repair-cost-100-million/,04/07/2018,Glasgow School of Art Fire,GLASGOW SCHOOL OF ART FIRE #2,True,"Glasgow School of Art has been destroyed beyond repair, say experts, with the costs of rebuilding estimated at more than £100 million.
""Mackintosh's Glasgow School of Art is gone,"" he told Dezeen.
Billy Hare, professor in construction management at Glasgow Caledonian University, estimated the cost of rebuilding at more than £100 million.
Related story Glasgow School of Art is Charles Rennie Mackintosh's ""masterwork""Glasgow School of Art has issued a statement to reassure staff and students that its priority over the coming week will be ""ensure minimum disruption"".
Completed in 1909, Glasgow School of Art is the best-known building designed by Mackintosh, Scotland's most famous architect.","school, mackintosh, art, destroyed, 100, told, stone, million, possible, glasgow, irreparable, rebuild, building, estimated","Glasgow School of Art has been destroyed beyond repair, say experts, with the costs of rebuilding estimated at more than £100 million.

The historic building, designed by Scottish architect Charle Rennie Mackintosh, suffered extensive damage from the fire that started on Friday, 15 June 2018.

Glasgow-based architect Alan Dunlop, who visited the site over the weekend, said the destruction caused to the building is ""irreparable"".

""Mackintosh's Glasgow School of Art is gone,"" he told Dezeen.

""It is certainly possible to rebuild but you cannot replicate 110 years of history,"" he said. ""The students, artists and architects who have worked there, and whose presence permeated the building – that's what has been lost in the fire.""

""We should resist the calls to rebuild""

Dunlop, who was a student at the Glasgow School of Art and is a visiting professor at Robert Gordon University, Scott Sutherland School of Architecture, claimed the damage is far worse than the school sustained during the previous fire in 2014, which destroyed large sections of the interior.

A reconstruction project following the first fire, costing an estimated £35 million, was expected to complete this year. But Dunlop believes that the same cannot be repeated.

""It has been destroyed by fire, four years after an initial assault,"" he said.

""We should resist the calls to rebuild it as before, 'stone by stone'. That would not be restoration, it would be replication – a process I believe Mackintosh himself would resist, as he was an innovator, not a copyist.""

Damage ""much worse"" than after previous fire

More than 120 firefighters were called to Glasgow School of Art just before midnight on Friday to tackle the blaze, which spread from the building's ground floor all the way up to the roof. Firefighters were able to get the fire under control after several hours.

Aerial photographs released shortly after the fire reveal the extensive damage – the roof appears to have been completely destroyed, and many of the floors are burnt out.

Billy Hare, professor in construction management at Glasgow Caledonian University, estimated the cost of rebuilding at more than £100 million.

""The damage to the school of art appeared to be overwhelming, much worse than the last fire from which recovered materials were painstakingly analysed and used in the refurbishment of the building,"" he told The Scotsman.

""This sort of project will cost a great deal more than the estimated £35 million after the last fire in May 2014.""

Hare expressed doubts over whether it would be possible to recover the school at all.

""It is sadly questionable what, if anything, will be left that could be salvaged, restored or recreated after this fire,"" he told the paper.

""It remains to be seen if it will be possible to retain a facade from the current building. If not, damaged buildings have been taken down almost stone by stone in the past and rebuilt with a new, internal frame.""

Cause of fire unknown

The Scottish Fire and Rescue Service has confirmed that no casualties were reported.

Martin Hill, the fire officer in charge of the incident, said that thermal-imaging cameras were used to help them assess priorities during a ""tactical firefighting operation"".

The cause of the fire is unknown at this stage, but investigations are underway.

Related story Glasgow School of Art is Charles Rennie Mackintosh's ""masterwork""

Glasgow School of Art has issued a statement to reassure staff and students that its priority over the coming week will be ""ensure minimum disruption"".

Muriel Gray Chair, chair of the school's board of governors, said she is hopeful that the building can be repaired.

""We now have a difficult waiting game until Scottish Fire and Rescue Service, Glasgow City Council and associated agencies have completed their investigations into the condition of the building,"" she said.

""We remain hopeful of as positive an outcome as possible, because it is clear that the love for the Mackintosh and recognition of its importance to Glasgow and the wider world is shared by absolutely everyone.""

Sprinklers weren't in operation

The British Automatic Fire Sprinkler Association has told press that sprinklers were not yet operational in the building, as the refurbishment wasn't complete.

""However, it should be realised that sprinklers can be fitted in buildings throughout construction on a temporary basis, as there is a considerable risk from fire during this period,"" the association told The Guardian.

Completed in 1909, Glasgow School of Art is the best-known building designed by Mackintosh, Scotland's most famous architect.

Last month marked the 150th anniversary of Mackintosh's birth. Dezeen published a special series to mark the occasion.

Main image is courtesy of Police Scotland."
68592,Fire devastates Mackintosh's Glasgow School of Art for a second time,https://www.dezeen.com/2018/06/16/fire-devastates-glasgow-school-of-art-charles-rennie-mackintosh/,04/07/2018,Glasgow School of Art Fire,GLASGOW SCHOOL OF ART FIRE #2,True,"Glasgow School of Art, the seminal building by Scottish architect Charles Rennie Mackintosh, has been engulfed by fire, just four years after it was severely damaged by another blaze.
Glasgow School of Art revealed the news via its Twitter feed yesterday: ""There is a fire at the Mackintosh Building.
The new blaze comes as a major restoration led by architects Page\Park was nearing completion.
According to Heath, all the restoration work is likely to have been destroyed in the latest fire.
Related story Glasgow School of Art is Charles Rennie Mackintosh's ""masterwork""Glasgow School of Art was completed in 1909 and is the best-known building designed by Mackintosh, Scotland's most famous architect.","school, mackintosh, art, restoration, devastates, glasgow, spread, building, mackintoshs, scottish, twitter, second, rennie","Glasgow School of Art, the seminal building by Scottish architect Charles Rennie Mackintosh, has been engulfed by fire, just four years after it was severely damaged by another blaze.

More than 120 firefighters were called to the historic college last night, Friday 15 June 2018, to tackle a blaze that is understood to have spread throughout the entire building.

Peter Heath, deputy assistant chief officer of the Scottish Fire and Rescue Service, told the BBC that the fire ""had seriously and significantly engulfed a large part of the building"".

""The fire was extensive, the conditions were very arduous and it was clear that this was going to be a very serious and ongoing incident,"" he said. ""The building has been extensively damaged.""

The fire had spread from the ground floor all the way up to the roof, and had also reached nearby buildings, the Campus nightclub and the O2 ABC music venue.

Glasgow School of Art revealed the news via its Twitter feed yesterday: ""There is a fire at the Mackintosh Building. The fire brigade are currently on scene. We will report back with news updates as soon as possible.""

Videos and photographs posted on Twitter showed large flames visible above the roof.

The new blaze comes as a major restoration led by architects Page\Park was nearing completion. The £35 million project, due to complete next year, involved recreating the library, the most celebrated room at the school, which was destroyed in the previous fire on 23 May 2014.

According to Heath, all the restoration work is likely to have been destroyed in the latest fire.

Related story Glasgow School of Art is Charles Rennie Mackintosh's ""masterwork""

Glasgow School of Art was completed in 1909 and is the best-known building designed by Mackintosh, Scotland's most famous architect.

Last week was the 150th anniversary of Mackintosh's birth. Dezeen published a special series to mark the occasion.

Image is by Calum Tomeny."
68594,MAKING A MARK: VIDEO: An Appreciation of Glasgow School of Art,https://makingamark.blogspot.com/2018/06/video-appreciation-of-glasgow-school-of-art.html,04/07/2018,Glasgow School of Art Fire,GLASGOW SCHOOL OF ART FIRE #2,True,"Get new posts by email: Subscribe Powered byYour email subscription to this blog is ONLY activated IF you verify the link you will receive.
You can unsubscribe at any timeIt will NOT be used for anything else and will NEVER be given to anybody else.","school, art, used, subscription, video, receiveyou, verify, appreciation, posts, glasgow, mark, email, subscribe, unsubscribe, timeit, making, powered","Get new posts by email: Subscribe Powered by

Your email subscription to this blog is ONLY activated IF you verify the link you will receive.

You can unsubscribe at any time

It will NOT be used for anything else and will NEVER be given to anybody else."
68595,MAKING A MARK: ANOTHER Major Fire at Rennie Mackintosh's Glasgow School of Art,https://makingamark.blogspot.com/2018/06/another-major-fire-rennie-mackintosh-glasgow-school-of-art.html,04/07/2018,Glasgow School of Art Fire,GLASGOW SCHOOL OF ART FIRE #2,True,"Get new posts by email: Subscribe Powered byYour email subscription to this blog is ONLY activated IF you verify the link you will receive.
You can unsubscribe at any timeIt will NOT be used for anything else and will NEVER be given to anybody else.","school, mackintoshs, art, used, subscription, receiveyou, verify, posts, major, glasgow, mark, email, subscribe, unsubscribe, timeit, making, powered, rennie","Get new posts by email: Subscribe Powered by

Your email subscription to this blog is ONLY activated IF you verify the link you will receive.

You can unsubscribe at any time

It will NOT be used for anything else and will NEVER be given to anybody else."
68596,Glasgow School of Art fire: a tragedy that demands answers,https://www.a-n.co.uk/news/glasgow-school-art-fire-tragedy-demands-answers/,04/07/2018,Glasgow School of Art Fire,GLASGOW SCHOOL OF ART FIRE #2,True,"As numbness turns to anger following Friday night's fire at Glasgow School of Art's Mackintosh Building, Chris Sharratt hopes that the building can rise again after this second even more devastating blaze.
I thought it was an old tweet at first, a relic from four years ago: ‘There is a fire at the Mackintosh Building.
The fire brigade are currently on scene.’ Then I checked the news and saw the fierce red sky above the Glasgow School of Art and a spasm of shock was followed by confusion.
It is a tragedy of memory and pride; a tragedy of place and circumstance; a tragedy that twists a knife into the heart of not just an art school but a city – a largely poor, working-class city with a rich cultural past that is palpable in its present.
Image:Mackintosh Building, Glasgow School of Art, after 15 June 2018 fire.","school, mackintosh, art, answers, tragedy, glasgow, world, building, students, second, demands, city","As numbness turns to anger following Friday night's fire at Glasgow School of Art's Mackintosh Building, Chris Sharratt hopes that the building can rise again after this second even more devastating blaze.

I thought it was an old tweet at first, a relic from four years ago: ‘There is a fire at the Mackintosh Building. The fire brigade are currently on scene.’ Then I checked the news and saw the fierce red sky above the Glasgow School of Art and a spasm of shock was followed by confusion. It was happening again – but how? How, in the midst of a major rebuild and so near to completion, could such an important building go up in flames for a second time?

No-one died and so to use the word tragedy to describe the latest cruel twist in the tale of this landmark building’s history may seem hyperbolic. But a tragedy it is, and not just for all those who have passed through its solid black doors, or studied in its richly ornate wood panelled library, or been affected by the sense of the outside streaming in to its light-filled studio spaces. Not just the art school staff, the students, the artists, the gallery visitors, the tourists on the Charles Rennie Mackintosh trail – though of course the rawness of their feelings are real and relevant.

It is a tragedy of memory and pride; a tragedy of place and circumstance; a tragedy that twists a knife into the heart of not just an art school but a city – a largely poor, working-class city with a rich cultural past that is palpable in its present. And for many reasons – not least that, up until that first fire on 23 May 2014, it was a building still used for its original purpose, an architectural gem that more than a hundred years on could still hold its own in an utterly changed world – the Mackintosh Building provides a tangible link between now and then. It embodies so strongly that sense of the present being touched and shaped by the past; of history being lives lived and ideas enacted rather than something you read about in books.

From the a-n News archive:

Reporting on the 2014 fire and aftermath

It is – it was – a living building. A great building, internationally revered, but not a building designed by an international ‘starchitect’; not like GSA’s new Reid Building by US architect Steven Holl, which opened in April 2014 a month before the first fire and has spent most of its short life opposite a construction site. This was designed and built in Scotland’s biggest city by a young Glasgow-born architect. It is in and of this place, and in our global, connected world that seems to make its presence more keenly felt, its value so much greater than its cost.

But is that cost now too great? After a £35m restoration following the first fire, and with the work by Kier Construction Scotland set to be completed by the end of this year and students due to be using the building by 2019, there is now talk that to rebuild it a second time could cost anything from £100-£200m. The latest fire, which began in the east wing, was far fiercer than the first and the building is entirely gutted, a mere shell. Worse still, the intense heat of the fire may have compromised it structurally; there is a possibility, it seems, that this A-listed building will have to be demolished and then rebuilt. Is that possible? Is that even desirable?

Muriel Gray, the chairwoman of the board of Glasgow School of Art who was so vociferous in her support for the building after the 2014 fire, has said it was “an understatement to say everyone is utterly devastated but, as usual, the GSA executive team, staff and students, have been outstanding, positive and supportive”.

As questions are asked about how this fire could even happen, about whether a sprinkler system had been installed in the building – Kier have yet to comment, but reports have suggested it wasn’t in place – the initial numbness experienced by many is turning to understandable anger. Who is to blame? What happens next?

As Gray put it: “We now have a difficult waiting game until Scottish Fire and Rescue Service, Glasgow City Council and associated agencies have completed their investigations into the condition of the building. We remain hopeful of as positive an outcome as possible because it is clear that the love for the Mackintosh and recognition of its importance to Glasgow and the wider world is shared by absolutely everyone.”

For now, the building and the surrounding area is cordoned off with police tape and the air is heavy with the smell of the recent fire. We can only hope that the year that marks the 150th anniversary of Mackintosh’s birth will not be remembered for the final demise of his greatest architectural achievement.

Image:

Mackintosh Building, Glasgow School of Art, after 15 June 2018 fire. Photo: Police Scotland via @polscotair

More on a-n.co.uk:"
68600,Glasgow School of Art: What next for the Mac? : June 2018 : News : Architecture in profile the building environment in Scotland,https://www.urbanrealm.com/news/7483/Glasgow_School_of_Art:_What_next_for_the_Mac?.html,04/07/2018,Glasgow School of Art Fire,GLASGOW SCHOOL OF ART FIRE #2,True,"OpinionIn 2014, rapid response by firefighters to the notorious fire in the Mackintosh Building at Glasgow School of Art saved 90% of the structure and 70% of its contents.
No city has such a symbiotic relationship with its art school, and love for the architect.
The SFRS report revealed the ‘Mac’ as a century-old tinderbox, riddled with ventilation ducts and voids which became a conduit for the flames.
But were lessons learned from the SFRS report?
CRM, long neglected, is now the architectural spirit of Glasgow and his buildings are a tourist attraction, chiefly the Mac.","school, art, scotland, restoration, report, library, sprinkler, 2018, sfrs, glasgow, architecture, building, profile, mac, environment","June 17 2018

As the initial shock of Friday's devastating Glasgow School of Art fire begins to dissipate tough questions are now being asked as to how such a disaster can have been allowed to happen not once, but twice within the span of a mere four years. Here Robin Ward, author of Exploring Glasgow, The Architectural Guide , queries the absence of basic fire protection systems.



Opinion



In 2014, rapid response by firefighters to the notorious fire in the Mackintosh Building at Glasgow School of Art saved 90% of the structure and 70% of its contents. But the school’s Library, Charles Rennie Mackintosh’s world-famous art nouveau interior, was destroyed. A shattering loss. No city has such a symbiotic relationship with its art school, and love for the architect.







A postmortem by the Scottish Fire & Rescue Service identified the cause of the fire—flammable gases from a canister of foam used by a student making art—and why it spread so fast. The SFRS report revealed the ‘Mac’ as a century-old tinderbox, riddled with ventilation ducts and voids which became a conduit for the flames. A sprinkler system had just been fitted but was not operational. It is unlikely it would have contained the blaze. Incredibly, four years on, a second fire started late Friday 15 June and spread swiftly with devastating effect. Glasgow’s most revered work of architecture was gutted. The cause of this catastrophic event is, so far, not known.







The 2014 fire, GSA director Professor Tom Inns said, was a ‘horrible accident’. Of the SFRS report he opined, ‘Obviously there are many features in the building which contributed to the fire—those are the things that are highlighted in the report.’ Lessons would be learned. Not

highlighted in the report, or by Inns, was a failure of stewardship, and negligence.







The GSA’s investment and hype in the years preceding the 2014 blaze had focussed on creating a campus fit for the 21st century, notably the Reid Building (Steve Holl and JM Architects) which opened in 2014 face to face with the Mac across the street. After the fire, restoration of the Library went ahead, prioritized by popular demand. The restoration (Page/Park Architects) was to be have been meticulous, as good as new, and expected to finish next year.







Buildings under repair or restoration are always at risk. What precautions did the GSA put in place? Why was the sprinkler system not finished or improved to protect the bulk of the building the firefighters saved? According to the Guardian, the British Automatic Fire Sprinkler Association understood that ‘automatic fire sprinklers had not been fully fitted as the building was still undergoing refurbishment from the 2014 fire.’ The association added, ‘sprinklers can be fitted in buildings throughout construction on a temporary basis.’ Furthermore, with restoration in progress, was anyone hired to fire-watch overnight, every night? It seems not.





After the first fire, no one at the GSA wanted to play the blame game. No heads rolled. But were lessons learned from the SFRS report? On the streets of Glasgow there is shock and anger that such a fire happened again. As for the future, there will be calls for the whole building to be restored. The shell of the Mac survived the inferno but it may not be structurally sound. Intense heat and the sudden spay of water cracked and weakened stonework in 2014. Whole or partial demolition may now be required for public safety. Façadism may be feasible, with a new structure inside.







In any event, a complete copy would be doable—the Mac is comprehensively documented, and a detailed digital modelling of the building was done after the first fire. Indeed, CRM’s design for the House for an Art Lover was built in Glasgow long after he died. But would a replica of the Mac be desirable?







Forensic knowledge was acquired during the restoration of the Library. There will be pressure to restore it again, but to what purpose? The Library was freely used by students when I studied there, when the Mac was a workplace, inspiring but not considered precious. It has since become a shrine, attracting the faithful from around the world.







CRM, long neglected, is now the architectural spirit of Glasgow and his buildings are a tourist attraction, chiefly the Mac. The fire of 2014 generated a huge amount of sympathy and fund-raising to restore the Library. Can that goodwill be sustained to restore the whole building?







The most pressing question, which will provoke debate, is should the Mac be rebuilt as it was, where it was? Would CRM do that or craft something new, with 21st-century materials and technology? Would he apply art nouveau decoration? He would certainly still be a magician of spatial surprise and the effects of light and shade that were the original’s unique personality. Perhaps the school’s architectural students should be given a chance to reinvent the place. CRM was young when he designed the Mac, and created a masterpiece."
70843,Scotland Women qualify for World Cup with 2-1 win against Albania,https://www.bbc.co.uk/sport/football/45395657,05/09/2018,Sports,SCOTLAND WOMEN'S FOOTBALL - WORLD CUP 2019 QUALIFICATION,True,"A jubilant Scotland celebrated wildly as they clinched their first place at a Women's World Cup finals with a dramatic victory over Albania.
Knowing they had to better the result of Group 2 leaders Switzerland to qualify automatically, Scotland's nerves were shredded as Shelley Kerr's side clung to a 2-1 lead while the Swiss pushed for a winning goal against Poland.
When the match ended goalless in Poland, Kerr's side had just seconds to hold on before the referee's whistle signalled an outpouring of emotion on the pitch.
Kim Little put Scotland ahead early on before Megi Doci levelled just before half-time.
Jane Ross' header then put the Scots back ahead, triggering a nerve-wracking 22 minutes for the visitors who held on to their lead.","women, scotland, ahead, win, cup, winning, 21, kerrs, whistle, world, qualify, albania, lead, visitors, womens, wildly","A jubilant Scotland celebrated wildly as they clinched their first place at a Women's World Cup finals with a dramatic victory over Albania.

Knowing they had to better the result of Group 2 leaders Switzerland to qualify automatically, Scotland's nerves were shredded as Shelley Kerr's side clung to a 2-1 lead while the Swiss pushed for a winning goal against Poland.

When the match ended goalless in Poland, Kerr's side had just seconds to hold on before the referee's whistle signalled an outpouring of emotion on the pitch.

Kim Little put Scotland ahead early on before Megi Doci levelled just before half-time.

Jane Ross' header then put the Scots back ahead, triggering a nerve-wracking 22 minutes for the visitors who held on to their lead."
70844,Scotland women qualify for historic first World Cup in France after victory over Albania,https://www.pressandjournal.co.uk/fp/sport/1555349/scotland-women-qualify-for-historic-first-world-cup-in-france-after-victory-over-albania/,05/09/2018,Sports,SCOTLAND WOMEN'S FOOTBALL - WORLD CUP 2019 QUALIFICATION,True,"Scotland women have qualified for the World Cup for the first time after a 2-1 win over Albania.
The two sides started the day level on points but the Swiss were ahead on goal difference.
A 2-1 win for the Scots against Switzerland on Thursday night had thrown them back in the mix for top spot and Tuesday’s dramatic results sealed their qualification.
As time wound down in Albania, all eyes were on the Poland-Switzerland game as a late goal for the Swiss would have consigned Scotland to a play-off.
However their nerves were spared and instead scenes of jubilation were seen as the Scots sealed a historic triumph.","wound, women, scotland, game, win, goal, cup, 21, sealed, world, qualify, historic, victory, albania, swiss, scots, yearthe, france","Scotland women have qualified for the World Cup for the first time after a 2-1 win over Albania.

That victory, coupled with Switzerland’s 0-0 draw in Poland, was enough to put Shelley Kerr’s side top of the group and gain automatic qualification to the tournament in France next year.

The two sides started the day level on points but the Swiss were ahead on goal difference. A 2-1 win for the Scots against Switzerland on Thursday night had thrown them back in the mix for top spot and Tuesday’s dramatic results sealed their qualification.

Kim Little, from Mintlaw, opened the scoring for Scotland but Megi Doci levelled just before half-time.

Jane Ross netted in the second half to restore Scotland’s advantage, in a game where they were the dominant side.

As time wound down in Albania, all eyes were on the Poland-Switzerland game as a late goal for the Swiss would have consigned Scotland to a play-off.

However their nerves were spared and instead scenes of jubilation were seen as the Scots sealed a historic triumph."
70847,Scotland qualify for Women’s World Cup for first time as England win 6-0,https://www.theguardian.com/football/2018/sep/04/scotland-first-womens-world-cup-finals-england-france,05/09/2018,Sports,SCOTLAND WOMEN'S FOOTBALL - WORLD CUP 2019 QUALIFICATION,True,"On a day when Scotland’s women reached a first World Cup finals and Welsh hearts were broken, England showed off some impressive strength in depth.
We always felt comfortable in the game and we created more than enough chances to win it.
The England team who ran out against Kazakhstan duly contained seven players making their full debuts.
Considering their hosts had scored only twice during a dismal qualifying campaign – and one of those was an own goal – such inexperience did not hamper Neville’s players.
Another debutant, Birmingham’s Lucy Staniforth, - who has overcome two ruptured cruciate ligaments - claimed a 66th-minute fourth before England won another penalty.","scotland, players, win, england, seven, goal, cup, 60, group, world, qualify, nevilles, qualifying, campaign, womens, mead","On a day when Scotland’s women reached a first World Cup finals and Welsh hearts were broken, England showed off some impressive strength in depth.

As Wales saw all hope of qualifying for France 2019 extinguished and Jane Ross scored a potentially life-changing winner for Scotland in Albania, the most experimental side of Phil Neville’s short international managerial tenure concluded the Lionesses’ World Cup qualifying campaign with a resounding 6-0 Group One win away to Kazakhstan.

England’s 3-0 victory against Wales in Newport last Friday had already guaranteed they would finish top of the group and booked their ticket to next summer’s showpiece across the Channel.



Inspired by the gifted Kim Little, Scotland will now join them. Shelley Kerr’s side celebrated automatic qualification as winners of Group Two courtesy of Ross’s goal in a 2-1 triumph after Little’s early opener had been cancelled out by an Albanian equaliser.

“It’s not often I’m lost for words but I’m really emotional,” said head coach Shelley Kerr. “We’ve done it the hard way during the campaign but we’ve shown great maturity and determination to succeed. These moments don’t come along too often so I’m absolutely ecstatic and it’ll take a while for it to sink in that we’re off to our first World Cup.”

Captain Rachel Corsie added: “At the final whistle it was hard to know what to do. It was just an incredibly surreal feeling. We need to enjoy that and we will because we deserve to. We always felt comfortable in the game and we created more than enough chances to win it. We knew that second goal was coming and we believed that it would. We persevered and once we got it we controlled the game well. The World Cup is the pinnacle of football and to have the opportunity to go over there and be on that stage with the best teams in the world is going to be incredibly special.”

While the visiting celebrations in Shkoder were ecstatic, things were a little lower key in Pavlodar where England ended their qualifying campaign unbeaten with seven wins and one draw. Between now and next June Neville wants intense, and increased, competition for places in his squad and England’s manager used the opportunity of an ostensibly dead rubber against the group’s bottom side by making 11 changes from the side who started at Rodney Parade. The England team who ran out against Kazakhstan duly contained seven players making their full debuts.

Considering their hosts had scored only twice during a dismal qualifying campaign – and one of those was an own goal – such inexperience did not hamper Neville’s players. By half-time a Beth Mead penalty and another goal from Rachel Daly had put them two up.

View image in fullscreen Rachel Daly plays her club football for the Houston Dash in the US. Photograph: Lynne Cameron/The FA/Rex/Shutterstock

Neville describes the latter, Houston Dash utility player as “seven footballers all rolled into one” and, deployed as a forward on this occasion, Daly – who has also excelled at left-back recently – once again emphasised her versatility.

Alongside her and Mead, Reading’s Lauren Bruton also shone as she won her first cap but it was Izzy Christiansen – the midfielder who swapped Manchester City for Lyon this summer – who put Neville’s side three up in the 54th minute following Bruton’s cross.

Another debutant, Birmingham’s Lucy Staniforth, - who has overcome two ruptured cruciate ligaments - claimed a 66th-minute fourth before England won another penalty. This time, though, Arsenal’s Mead missed, hitting a post.

Undeterred, Mead soon atoned by shooting the fifth and Bruton created the sixth for the substitute Lucy Bronze as Welsh play-off hopes evaporated.

Although Ludlow’s side, who for a time were above England in their group table and held Neville’s players to a 0-0 draw at Southampton last April, finished second, they were not one of the four best qualifiers across seven groups. Having completed their fixtures, Ludlow’s players were left on tenterhooks waiting to see if other results went their way.

Agonisingly they did not. Germany, Norway and Sweden joined Scotland in clinching automatic qualification Belgium, Denmark, Switzerland and the Netherlands found themselves consigned to the lottery of two play-off games to determine the final European place at France 2019.

Considering the Netherlands are European Champions – they beat England in the semi-finals of Euro 2017 before defeating Denmark in the final – their failure to qualify automatically will be seen as a setback."
